"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","prob","churn_prob"
"1","7590-VHVEG","Female",0,"Yes","No",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.85,29.85,"No",0.272906614218072,0.272906614218072
"2","5575-GNVDE","Male",0,"No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5,"No",0.808236842677147,0.808236842677147
"3","3668-QPYBK","Male",0,"No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"Yes",0.354835086450425,0.354835086450425
"4","7795-CFOCW","Male",0,"No","No",45,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",42.3,1840.75,"No",0.892792149256602,0.892792149256602
"5","9237-HQITU","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65,"Yes",0.115169367242984,0.115169367242984
"6","9305-CDSKC","Female",0,"No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5,"Yes",0.10303595023273,0.10303595023273
"7","1452-KIOVK","Male",0,"No","Yes",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,1949.4,"No",0.252498533855241,0.252498533855241
"8","6713-OKOMC","Female",0,"No","No",10,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.75,301.9,"No",0.599182170885913,0.599182170885913
"9","7892-POOKP","Female",0,"Yes","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"Yes",0.281384473286079,0.281384473286079
"10","6388-TABGU","Male",0,"No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95,"No",0.872292353660225,0.872292353660225
